user_idx,similar_user_1,similar_user_2,similar_user_3
1,117,760,345
2,858,570,407
3,79,530,1027
4,801,257,725
5,556,636,916
7,690,801,4
8,717,25,605
9,462,927,214
10,1005,650,451
11,747,47,117
12,1012,552,992
13,752,698,542
14,96,130,98
15,462,566,173
16,314,531,902
17,300,977,28
18,502,594,978
19,621,950,391
20,939,765,870
21,544,899,875
22,64,558,841
23,744,309,271
24,25,250,8
25,8,570,24
26,1067,305,224
27,529,435,1068
28,959,597,839
29,369,653,812
30,339,328,1011
31,576,194,82
32,982,1036,158
33,115,493,848
34,143,524,1014
35,294,76,643
36,1002,607,610
37,800,829,812
38,76,401,449
39,286,1031,778
40,107,692,769
41,71,830,897
42,1028,1037,172
43,1067,590,920
45,605,186,1063
46,844,504,395
47,369,423,938
48,161,218,115
49,997,756,173
50,938,89,553
51,142,161,375
52,392,826,623
53,909,678,724
54,863,395,856
55,989,759,729
56,148,356,454
57,729,727,1043
58,544,1013,905
59,556,995,892
60,844,1078,775
61,497,118,867
62,1061,283,286
63,879,501,905
64,22,196,103
65,36,607,342
66,14,28,127
67,921,882,665
68,307,840,811
69,667,1062,181
70,389,411,494
71,41,11,931
72,729,118,1043
73,352,285,556
74,749,1069,935
75,446,956,332
76,38,576,751
77,1043,72,154
78,352,266,777
79,403,967,3
80,1038,798,623
81,1071,504,289
82,843,113,374
83,729,892,961
84,617,730,533
85,174,858,1048
86,679,894,511
87,513,240,357
88,278,350,685
89,452,50,424
90,984,690,496
91,209,243,959
92,841,399,709
93,847,575,528
94,779,314,877
95,333,1024,576
96,14,910,24
97,1065,308,813
98,212,283,366
99,60,779,300
100,226,86,313
101,862,1028,224
103,567,470,64
104,114,209,651
105,831,414,795
106,157,663,65
107,151,40,336
108,176,735,989
110,332,132,155
111,1027,533,603
112,610,629,220
113,337,82,107
114,104,841,303
115,48,450,218
116,1023,866,828
117,240,357,358
118,72,899,725
119,608,1039,846
120,795,474,277
121,209,271,647
123,264,774,285
124,486,19,793
125,327,774,216
126,549,148,259
127,1027,329,804
128,1083,403,1029
129,26,822,345
130,956,266,850
131,491,403,35
132,686,155,110
133,161,740,609
134,606,963,1031
135,1069,966,594
136,535,93,777
137,453,1059,307
138,1040,969,522
139,183,1067,731
140,451,508,650
141,127,898,513
142,51,956,486
143,272,34,601
144,285,651,227
145,711,985,728
146,1078,1010,654
147,532,336,821
148,743,56,1061
149,717,764,524
150,506,1038,29
151,107,544,336
152,1023,926,681
153,276,423,167
154,77,403,29
155,392,132,110
156,828,401,274
157,106,169,333
158,737,32,884
159,845,446,1065
160,535,305,127
161,48,1072,382
162,655,392,564
163,32,968,288
164,566,370,1034
165,858,8,701
