Node,Community
470,0
979,1
395,2
87,3
484,6
642,5
877,6
625,6
691,7
116,5
931,24
53,10
445,10
135,3
895,11
704,10
891,10
284,3
803,12
699,6
100,14
443,10
689,15
390,5
32,6
230,10
834,7
962,6
1047,16
738,10
364,16
398,2
839,14
424,5
751,5
889,10
612,17
643,7
1032,7
768,10
15,5
458,6
280,3
1016,10
281,7
366,2
276,6
227,7
80,5
673,6
318,18
337,7
916,10
639,16
752,7
713,18
449,5
1012,5
749,10
438,6
217,6
656,7
225,2
628,7
504,16
226,20
164,21
235,16
118,6
1054,10
881,14
706,18
1005,7
912,5
537,18
406,35
868,35
1055,3
303,18
793,3
784,6
816,10
623,17
950,10
294,6
615,17
385,10
292,6
801,29
69,2
7,5
592,6
669,18
574,6
436,17
636,7
865,20
621,10
272,2
1063,7
591,19
976,6
562,14
783,6
319,5
468,10
107,2
667,10
557,26
725,16
774,2
880,16
335,6
769,16
403,7
573,27
346,5
968,28
539,21
184,35
734,10
71,35
688,21
65,10
885,24
267,17
820,10
516,10
176,35
528,6
30,24
246,18
515,20
710,26
145,14
498,6
313,16
798,29
598,29
195,20
59,5
662,2
425,10
756,3
553,2
702,6
620,17
84,17
129,3
173,17
256,6
864,18
809,18
817,10
204,6
121,6
420,3
49,5
50,16
519,3
340,5
1010,7
117,6
1034,0
391,7
526,3
645,10
258,6
758,16
653,6
611,21
47,3
192,3
984,30
1025,17
373,16
902,10
571,19
120,6
987,17
185,10
559,16
874,16
786,18
279,3
264,10
354,6
529,17
131,20
101,31
207,10
78,20
943,10
179,10
469,17
4,14
444,16
586,3
381,2
510,17
1044,17
572,3
1072,5
162,5
299,5
652,10
315,7
194,6
637,3
12,6
787,17
300,10
633,35
883,6
973,3
316,32
597,10
307,7
365,20
805,3
940,6
359,14
191,2
130,24
186,20
692,5
1009,20
806,31
418,7
1076,21
474,6
26,10
777,20
90,3
989,14
715,10
139,5
593,10
324,2
328,24
57,7
221,10
198,6
371,2
772,14
535,5
818,5
242,2
994,5
905,35
509,6
969,17
16,10
389,18
799,3
955,7
361,35
296,3
378,10
85,5
826,3
475,3
134,10
149,5
54,3
650,20
432,17
386,7
17,10
1013,18
848,5
188,10
434,10
14,17
788,18
854,6
985,18
1083,35
113,2
658,17
415,29
649,35
556,10
990,34
1042,14
480,16
79,6
362,3
495,10
1040,29
530,0
169,35
1059,35
311,2
500,5
187,2
251,21
995,2
367,3
824,10
1070,29
903,3
417,3
619,7
215,7
770,5
800,20
312,5
957,17
936,20
721,5
291,14
370,21
733,20
387,7
218,35
271,35
348,18
152,5
964,2
802,6
682,3
108,18
861,7
3,18
297,5
338,5
21,14
917,6
882,0
599,35
158,10
170,3
1066,29
520,17
971,35
255,5
511,6
463,16
254,17
234,6
797,17
290,18
792,10
884,35
1064,3
148,5
427,5
1024,26
614,3
347,10
372,3
565,16
293,6
273,20
114,3
259,10
501,35
894,6
1071,16
405,3
527,14
890,35
440,10
287,7
455,2
301,14
827,2
400,35
677,6
56,35
339,3
534,10
804,29
167,21
505,5
887,10
203,20
265,29
925,7
180,10
1079,17
922,35
663,10
524,17
238,5
161,5
578,14
697,18
392,26
360,35
906,35
1014,17
102,20
448,19
105,10
496,17
570,18
981,3
404,2
10,3
698,6
216,10
363,35
136,29
73,21
632,19
317,18
728,5
660,35
584,36
871,14
44,7
320,10
837,6
34,17
629,2
413,2
248,6
983,0
582,6
419,2
965,37
260,29
970,17
244,16
855,7
396,20
859,38
175,3
241,39
83,7
879,3
1001,18
521,6
409,26
778,5
1074,7
275,29
727,3
1018,35
708,10
119,14
24,40
356,3
412,17
379,17
40,10
953,20
132,41
288,26
96,6
705,6
228,17
604,7
762,14
718,6
742,6
456,10
918,3
285,6
492,7
240,5
489,42
561,3
282,3
465,3
309,16
153,10
428,6
344,16
250,5
654,10
453,5
941,10
541,10
958,7
686,5
549,6
331,16
81,16
190,35
46,3
857,16
423,3
560,17
829,16
357,26
202,5
446,43
208,3
269,16
247,18
144,17
499,35
397,6
332,29
402,44
104,24
1051,14
853,45
155,18
171,3
651,14
696,10
844,14
1011,18
842,17
277,3
1030,20
141,26
124,31
847,46
74,10
878,35
407,31
746,7
212,29
314,10
1038,20
2,6
1075,10
298,5
657,20
851,7
9,35
731,18
813,24
310,19
126,5
481,5
951,6
23,6
439,2
695,19
568,3
58,18
305,3
1065,17
52,18
388,26
128,47
491,5
452,6
110,7
231,5
355,6
1026,18
159,10
627,10
531,10
680,3
701,18
461,6
1073,3
836,29
471,6
766,10
375,14
952,2
473,6
543,10
43,2
722,6
999,16
243,2
533,7
140,24
514,7
283,3
334,14
956,5
948,6
819,6
503,0
630,10
666,20
601,3
610,35
606,26
566,21
579,6
1031,29
937,5
29,6
274,3
967,21
512,10
1049,35
1027,18
196,18
374,10
482,6
563,35
60,26
631,10
1057,17
908,20
55,18
1068,2
830,31
575,7
210,10
182,20
304,16
383,7
229,35
457,48
674,3
564,35
70,6
166,3
1019,5
693,16
368,3
414,20
483,6
1002,18
608,3
433,20
616,17
870,7
1,29
353,3
678,10
933,18
536,17
323,16
518,3
358,5
